County,FIPSC,FIPS,State,2018,2019,2020
Monroe,28095,028095,Mississippi,"35,197","36,370","39,729"
Montgomery,28097,028097,Mississippi,"33,868","35,526","39,432"
Neshoba,28099,028099,Mississippi,"36,067","37,731","38,507"
Newton,28101,028101,Mississippi,"35,116","36,017","37,484"
Noxubee,28103,028103,Mississippi,"31,555","34,842","37,781"
Oktibbeha,28105,028105,Mississippi,"34,543","35,408","37,853"
Panola,28107,028107,Mississippi,"32,844","33,845","37,593"
Pearl River,28109,028109,Mississippi,"36,369","37,849","40,201"
Perry,28111,028111,Mississippi,"32,631","33,510","36,953"
Pike,28113,028113,Mississippi,"30,772","31,673","34,718"
Pontotoc,28115,028115,Mississippi,"33,007","33,953","37,342"
Prentiss,28117,028117,Mississippi,"30,407","31,461","34,158"
Quitman,28119,028119,Mississippi,"28,336","29,765","34,239"
Rankin,28121,028121,Mississippi,"44,657","45,632","48,295"
Scott,28123,028123,Mississippi,"31,449","31,657","32,840"
Sharkey,28125,028125,Mississippi,"32,747","34,344","42,775"
Simpson,28127,028127,Mississippi,"36,995","37,381","38,987"
Smith,28129,028129,Mississippi,"35,968","36,086","36,494"
Stone,28131,028131,Mississippi,"33,273","34,214","37,001"
Sunflower,28133,028133,Mississippi,"30,039","30,865","35,454"
Tallahatchie,28135,028135,Mississippi,"28,886","30,200","33,784"
Tate,28137,028137,Mississippi,"35,594","37,032","40,134"
Tippah,28139,028139,Mississippi,"36,755","38,248","42,051"
Tishomingo,28141,028141,Mississippi,"33,988","35,052","37,593"
Tunica,28143,028143,Mississippi,"32,016","35,554","40,994"
Union,28145,028145,Mississippi,"32,197","33,657","36,387"
Walthall,28147,028147,Mississippi,"31,720","32,414","34,814"
Warren,28149,028149,Mississippi,"39,825","41,129","44,422"
Washington,28151,028151,Mississippi,"36,753","37,699","43,778"
Wayne,28153,028153,Mississippi,"34,910","35,887","36,967"
Webster,28155,028155,Mississippi,"38,083","39,895","43,060"
Wilkinson,28157,028157,Mississippi,"29,247","30,772","34,759"
Winston,28159,028159,Mississippi,"35,202","36,845","38,970"
Yalobusha,28161,028161,Mississippi,"36,881","37,892","41,336"
Yazoo,28163,028163,Mississippi,"27,396","28,282","33,672"
Adair,29001,029001,Missouri,"32,071","32,852","34,867"
Andrew,29003,029003,Missouri,"42,913","45,556","48,186"
Atchison,29005,029005,Missouri,"38,102","46,412","53,958"
Audrain,29007,029007,Missouri,"36,992","38,057","42,029"
Barry,29009,029009,Missouri,"35,578","35,740","37,114"
Barton,29011,029011,Missouri,"34,500","35,404","42,031"
Bates,29013,029013,Missouri,"38,055","40,500","44,523"
Benton,29015,029015,Missouri,"37,119","38,401","40,318"
Bollinger,29017,029017,Missouri,"32,344","33,575","36,548"
Boone,29019,029019,Missouri,"46,674","49,114","51,330"
Buchanan,29021,029021,Missouri,"38,461","40,346","42,653"
Butler,29023,029023,Missouri,"35,403","36,122","40,255"
Caldwell,29025,029025,Missouri,"37,272","38,677","41,488"
Callaway,29027,029027,Missouri,"37,154","39,446","42,524"
Camden,29029,029029,Missouri,"37,656","38,767","40,778"
Cape Girardeau,29031,029031,Missouri,"45,070","45,469","47,386"
Carroll,29033,029033,Missouri,"42,295","46,568","50,990"
Carter,29035,029035,Missouri,"31,703","33,215","35,898"
Cass,29037,029037,Missouri,"46,998","48,541","50,654"
Cedar,29039,029039,Missouri,"30,814","31,439","34,130"
Chariton,29041,029041,Missouri,"41,120","43,955","49,650"
Christian,29043,029043,Missouri,"40,535","41,755","43,602"
Clark,29045,029045,Missouri,"33,439","35,733","40,825"
Clay,29047,029047,Missouri,"47,902","49,277","51,619"
Clinton,29049,029049,Missouri,"41,764","43,484","46,823"
Cole,29051,029051,Missouri,"46,057","48,726","51,905"
Cooper,29053,029053,Missouri,"38,260","40,091","44,486"
Crawford,29055,029055,Missouri,"35,485","36,035","38,430"
Dade,29057,029057,Missouri,"33,648","34,918","38,581"
Dallas,29059,029059,Missouri,"32,907","33,893","35,840"
Daviess,29061,029061,Missouri,"32,190","33,941","37,380"
DeKalb,29063,029063,Missouri,"27,878","34,340","36,799"
Dent,29065,029065,Missouri,"32,870","33,747","36,327"
Douglas,29067,029067,Missouri,"27,160","28,628","31,031"
Dunklin,29069,029069,Missouri,"34,129","36,310","38,821"
Franklin,29071,029071,Missouri,"44,343","46,258","48,108"
Gasconade,29073,029073,Missouri,"39,464","41,022","43,589"
Gentry,29075,029075,Missouri,"40,644","43,165","46,483"
Greene,29077,029077,Missouri,"44,068","45,981","47,388"
Grundy,29079,029079,Missouri,"34,037","35,358","39,098"
Harrison,29081,029081,Missouri,"34,937","36,562","41,238"
Henry,29083,029083,Missouri,"40,898","41,731","44,780"
Hickory,29085,029085,Missouri,"28,852","29,222","31,380"
Holt,29087,029087,Missouri,"44,023","50,307","56,644"
Howard,29089,029089,Missouri,"38,741","41,227","43,946"
Howell,29091,029091,Missouri,"33,833","35,152","37,414"
Iron,29093,029093,Missouri,"32,974","33,575","36,530"
Jackson,29095,029095,Missouri,"46,419","47,718","50,209"
Jasper,29097,029097,Missouri,"41,231","41,165","42,488"
Jefferson,29099,029099,Missouri,"42,428","43,873","46,027"
Johnson,29101,029101,Missouri,"36,821","37,654","40,207"
Knox,29103,029103,Missouri,"32,422","35,416","40,933"
Laclede,29105,029105,Missouri,"36,054","36,219","38,403"
Lafayette,29107,029107,Missouri,"41,712","42,613","45,825"
Lawrence,29109,029109,Missouri,"34,103","34,635","36,746"
Lewis,29111,029111,Missouri,"34,402","36,476","39,481"
Lincoln,29113,029113,Missouri,"40,388","41,183","44,032"
Linn,29115,029115,Missouri,"38,548","39,244","42,456"
Livingston,29117,029117,Missouri,"37,653","39,489","43,804"
McDonald,29119,029119,Missouri,"28,882","29,844","31,941"
Macon,29121,029121,Missouri,"41,194","41,400","44,785"
Madison,29123,029123,Missouri,"35,657","37,034","40,312"
Maries,29125,029125,Missouri,"32,504","34,764","37,638"
Marion,29127,029127,Missouri,"39,992","41,119","44,121"
Mercer,29129,029129,Missouri,"30,926","31,725","35,358"
Miller,29131,029131,Missouri,"35,460","36,124","39,349"
Mississippi,29133,029133,Missouri,"29,749","31,838","37,483"
Moniteau,29135,029135,Missouri,"35,508","37,826","41,930"
Monroe,29137,029137,Missouri,"38,807","41,105","44,528"
Montgomery,29139,029139,Missouri,"39,565","41,711","46,688"
Morgan,29141,029141,Missouri,"41,208","41,653","42,880"
New Madrid,29143,029143,Missouri,"33,001","37,493","41,953"
Newton,29145,029145,Missouri,"38,594","39,704","41,771"
Nodaway,29147,029147,Missouri,"30,828","32,782","36,315"
Oregon,29149,029149,Missouri,"29,404","30,634","33,166"
Osage,29151,029151,Missouri,"43,953","45,571","49,250"
Ozark,29153,029153,Missouri,"30,772","31,228","33,722"
Pemiscot,29155,029155,Missouri,"33,817","36,420","40,931"
Perry,29157,029157,Missouri,"41,085","42,152","45,002"
Pettis,29159,029159,Missouri,"37,080","38,247","40,971"
Phelps,29161,029161,Missouri,"39,077","39,916","42,030"
Pike,29163,029163,Missouri,"33,280","36,631","40,471"
Platte,29165,029165,Missouri,"58,013","58,794","60,698"
Polk,29167,029167,Missouri,"34,060","35,248","36,944"
Pulaski,29169,029169,Missouri,"39,580","41,866","44,732"
Putnam,29171,029171,Missouri,"34,489","35,844","39,308"
Ralls,29173,029173,Missouri,"38,145","39,925","44,688"
Randolph,29175,029175,Missouri,"38,996","39,385","42,615"
Ray,29177,029177,Missouri,"41,923","43,317","46,047"
Reynolds,29179,029179,Missouri,"33,863","35,427","38,107"
Ripley,29181,029181,Missouri,"30,410","31,050","34,297"
St. Charles,29183,029183,Missouri,"53,760","55,138","56,879"
St. Clair,29185,029185,Missouri,"28,954","30,219","33,058"
Ste. Genevieve,29186,029186,Missouri,"41,079","41,903","44,925"
St. Francois,29187,029187,Missouri,"34,122","34,982","37,377"
St. Louis,29189,029189,Missouri,"71,604","74,361","78,804"
Saline,29195,029195,Missouri,"36,194","38,156","43,076"
Schuyler,29197,029197,Missouri,"29,500","29,553","33,550"
Scotland,29199,029199,Missouri,"32,240","34,488","41,576"
Scott,29201,029201,Missouri,"39,991","41,315","44,148"
Shannon,29203,029203,Missouri,"29,950","30,499","33,071"
Shelby,29205,029205,Missouri,"37,606","39,963","45,373"
Stoddard,29207,029207,Missouri,"34,704","37,650","41,158"
Stone,29209,029209,Missouri,"38,662","40,138","41,975"
Sullivan,29211,029211,Missouri,"36,809","38,963","44,877"
Taney,29213,029213,Missouri,"36,181","37,146","38,859"
Texas,29215,029215,Missouri,"28,041","29,601","32,774"
Vernon,29217,029217,Missouri,"34,157","35,089","39,496"
Warren,29219,029219,Missouri,"41,825","42,665","45,011"
Washington,29221,029221,Missouri,"29,726","30,752","33,148"
Wayne,29223,029223,Missouri,"29,545","31,094","34,018"
Webster,29225,029225,Missouri,"32,445","33,841","35,845"
Worth,29227,029227,Missouri,"34,001","37,652","41,861"
Wright,29229,029229,Missouri,"32,044","32,792","35,480"
St. Louis City,29510,029510,Missouri,"46,129","48,683","51,041"
Beaverhead,30001,030001,Montana,"45,349","48,070","52,501"
Big Horn,30003,030003,Montana,"30,023","31,515","35,950"
Blaine,30005,030005,Montana,"29,952","30,806","36,301"
Broadwater,30007,030007,Montana,"43,116","45,732","48,786"
Carbon,30009,030009,Montana,"51,259","53,870","56,900"
Carter,30011,030011,Montana,"41,173","40,733","53,760"
Cascade,30013,030013,Montana,"47,529","49,201","52,226"
Chouteau,30015,030015,Montana,"37,561","40,738","48,627"
Custer,30017,030017,Montana,"44,581","47,174","51,268"
Daniels,30019,030019,Montana,"47,574","49,331","64,205"
Dawson,30021,030021,Montana,"46,795","46,622","50,972"
Deer Lodge,30023,030023,Montana,"38,910","40,985","45,039"
Fallon,30025,030025,Montana,"48,488","49,763","54,203"
Fergus,30027,030027,Montana,"42,019","45,588","48,900"
Flathead,30029,030029,Montana,"48,333","50,144","52,740"
Gallatin,30031,030031,Montana,"57,091","60,195","63,432"
Garfield,30033,030033,Montana,"33,531","33,179","44,812"
Glacier,30035,030035,Montana,"34,427","37,035","41,773"
Golden Valley,30037,030037,Montana,"48,783","50,027","56,481"
Granite,30039,030039,Montana,"43,710","45,815","49,242"
Hill,30041,030041,Montana,"45,108","45,987","50,018"
Jefferson,30043,030043,Montana,"47,812","50,147","52,770"
Judith Basin,30045,030045,Montana,"46,207","49,496","56,953"
Lake,30047,030047,Montana,"39,371","40,842","44,068"
Lewis and Clark,30049,030049,Montana,"48,692","50,915","54,040"
Liberty,30051,030051,Montana,"37,409","45,195","51,268"
Lincoln,30053,030053,Montana,"36,262","37,725","41,129"
McCone,30055,030055,Montana,"36,640","39,147","48,924"
Madison,30057,030057,Montana,"50,373","53,651","57,112"
Meagher,30059,030059,Montana,"43,282","45,173","49,730"
Mineral,30061,030061,Montana,"39,762","39,759","43,233"
Missoula,30063,030063,Montana,"49,616","51,738","54,353"
Musselshell,30065,030065,Montana,"44,064","46,093","49,756"
Park,30067,030067,Montana,"49,790","52,934","55,213"
Petroleum,30069,030069,Montana,"31,304","33,189","41,080"
Phillips,30071,030071,Montana,"39,732","41,271","48,341"
Pondera,30073,030073,Montana,"42,985","49,754","56,218"
Powder River,30075,030075,Montana,"32,647","34,282","44,756"
Powell,30077,030077,Montana,"41,785","43,912","47,024"
Prairie,30079,030079,Montana,"48,723","47,483","57,918"
Ravalli,30081,030081,Montana,"45,201","47,253","49,860"
Richland,30083,030083,Montana,"60,290","62,491","63,761"
Roosevelt,30085,030085,Montana,"35,907","36,309","41,531"
Rosebud,30087,030087,Montana,"43,776","45,239","50,566"
Sanders,30089,030089,Montana,"35,851","37,345","41,398"
Sheridan,30091,030091,Montana,"46,547","50,463","61,236"
Silver Bow,30093,030093,Montana,"47,686","48,263","50,672"
Stillwater,30095,030095,Montana,"52,948","54,288","57,382"
Sweet Grass,30097,030097,Montana,"46,324","49,597","54,287"
Teton,30099,030099,Montana,"46,228","48,870","53,172"
Toole,30101,030101,Montana,"48,545","53,369","60,089"
Treasure,30103,030103,Montana,"51,187","56,758","66,721"
Valley,30105,030105,Montana,"45,634","47,510","54,556"
Wheatland,30107,030107,Montana,"35,084","38,608","42,348"
Wibaux,30109,030109,Montana,"37,860","41,155","48,913"
Yellowstone,30111,030111,Montana,"52,508","54,213","56,588"
Adams,31001,031001,Nebraska,"48,052","50,017","53,232"
Antelope,31003,031003,Nebraska,"49,157","55,033","69,121"
Arthur,31005,031005,Nebraska,"44,076","46,098","53,618"
Banner,31007,031007,Nebraska,"49,901","50,306","59,097"
Blaine,31009,031009,Nebraska,"55,124","60,424","70,372"
Boone,31011,031011,Nebraska,"51,585","58,601","69,564"
Box Butte,31013,031013,Nebraska,"47,790","49,193","53,723"
Boyd,31015,031015,Nebraska,"50,777","56,197","62,078"
Brown,31017,031017,Nebraska,"50,644","55,182","60,280"
Buffalo,31019,031019,Nebraska,"55,710","57,582","60,230"
Burt,31021,031021,Nebraska,"45,269","49,088","53,602"
Butler,31023,031023,Nebraska,"46,867","49,790","56,101"
Cass,31025,031025,Nebraska,"51,466","53,998","57,220"
Cedar,31027,031027,Nebraska,"48,285","50,389","58,373"
Chase,31029,031029,Nebraska,"52,000","58,777","68,843"
Cherry,31031,031031,Nebraska,"42,250","44,279","50,817"
Cheyenne,31033,031033,Nebraska,"48,499","48,234","50,334"
Clay,31035,031035,Nebraska,"48,136","51,089","57,104"
Colfax,31037,031037,Nebraska,"41,567","43,925","49,977"
Cuming,31039,031039,Nebraska,"58,655","64,624","71,653"
Custer,31041,031041,Nebraska,"45,353","48,095","54,458"
Dakota,31043,031043,Nebraska,"41,843","44,062","47,062"
Dawes,31045,031045,Nebraska,"36,886","38,323","43,101"
Dawson,31047,031047,Nebraska,"42,358","44,940","49,096"
Deuel,31049,031049,Nebraska,"42,827","40,437","43,738"
Dixon,31051,031051,Nebraska,"40,648","44,444","49,974"
Dodge,31053,031053,Nebraska,"46,491","49,231","52,445"
Douglas,31055,031055,Nebraska,"62,536","63,072","65,737"
Dundy,31057,031057,Nebraska,"66,134","71,079","86,360"
Fillmore,31059,031059,Nebraska,"55,061","57,255","63,206"
Franklin,31061,031061,Nebraska,"46,042","49,798","57,959"
Frontier,31063,031063,Nebraska,"37,562","38,425","46,216"
Furnas,31065,031065,Nebraska,"41,781","45,337","53,727"
Gage,31067,031067,Nebraska,"47,234","48,993","52,843"
Garden,31069,031069,Nebraska,"43,386","46,002","50,671"
Garfield,31071,031071,Nebraska,"38,679","41,582","47,856"
Gosper,31073,031073,Nebraska,"46,389","49,937","59,049"
Grant,31075,031075,Nebraska,"42,251","47,447","54,922"
Greeley,31077,031077,Nebraska,"43,665","46,749","56,500"
Hall,31079,031079,Nebraska,"43,251","44,457","47,793"
Hamilton,31081,031081,Nebraska,"53,269","55,198","61,230"
Harlan,31083,031083,Nebraska,"48,354","51,888","57,828"
Hayes,31085,031085,Nebraska,"59,047","65,255","79,926"
Hitchcock,31087,031087,Nebraska,"37,020","39,694","46,667"
Holt,31089,031089,Nebraska,"50,052","51,745","59,853"
Hooker,31091,031091,Nebraska,"49,972","47,804","54,516"
Howard,31093,031093,Nebraska,"42,807","45,971","50,857"
Jefferson,31095,031095,Nebraska,"46,852","48,555","53,407"
Johnson,31097,031097,Nebraska,"33,941","35,813","39,498"
Kearney,31099,031099,Nebraska,"51,964","55,393","61,585"
Keith,31101,031101,Nebraska,"46,216","47,398","51,040"
Keya Paha,31103,031103,Nebraska,"49,059","49,847","66,705"
Kimball,31105,031105,Nebraska,"44,821","44,529","50,075"
Knox,31107,031107,Nebraska,"45,053","46,679","53,356"
Lancaster,31109,031109,Nebraska,"49,449","50,510","52,887"
Lincoln,31111,031111,Nebraska,"48,335","49,610","54,043"
Logan,31113,031113,Nebraska,"51,024","49,181","58,616"
Loup,31115,031115,Nebraska,"52,250","52,624","61,740"
McPherson,31117,031117,Nebraska,"42,520","45,197","62,907"
Madison,31119,031119,Nebraska,"49,412","51,413","55,104"
Merrick,31121,031121,Nebraska,"42,782","46,880","50,870"
Morrill,31123,031123,Nebraska,"52,631","56,516","63,120"
Nance,31125,031125,Nebraska,"35,316","39,292","46,091"
Nemaha,31127,031127,Nebraska,"46,286","48,589","51,548"
Nuckolls,31129,031129,Nebraska,"48,906","51,840","59,449"
Otoe,31131,031131,Nebraska,"52,757","54,989","57,873"
Pawnee,31133,031133,Nebraska,"43,293","43,594","51,436"
Perkins,31135,031135,Nebraska,"53,314","62,624","71,191"
Phelps,31137,031137,Nebraska,"50,321","53,449","59,324"
Pierce,31139,031139,Nebraska,"53,362","57,173","62,493"
Platte,31141,031141,Nebraska,"46,316","48,042","52,316"
Polk,31143,031143,Nebraska,"50,763","53,391","57,312"
Red Willow,31145,031145,Nebraska,"44,441","46,409","52,196"
Richardson,31147,031147,Nebraska,"47,393","49,555","54,773"
Rock,31149,031149,Nebraska,"58,222","59,531","72,590"
Saline,31151,031151,Nebraska,"41,949","43,935","47,785"
Sarpy,31153,031153,Nebraska,"51,167","52,380","55,173"
Saunders,31155,031155,Nebraska,"51,349","53,414","56,892"
Scotts Bluff,31157,031157,Nebraska,"44,183","45,388","49,048"
Seward,31159,031159,Nebraska,"50,032","51,580","56,220"
Sheridan,31161,031161,Nebraska,"45,565","49,061","56,597"
Sherman,31163,031163,Nebraska,"40,422","43,915","50,461"
Sioux,31165,031165,Nebraska,"53,759","55,894","64,440"
Stanton,31167,031167,Nebraska,"43,178","45,713","52,621"
Thayer,31169,031169,Nebraska,"51,546","54,402","60,659"
Thomas,31171,031171,Nebraska,"53,385","53,003","57,805"
Thurston,31173,031173,Nebraska,"36,075","39,140","45,789"
Valley,31175,031175,Nebraska,"45,977","49,408","59,867"
Washington,31177,031177,Nebraska,"55,607","58,047","60,738"
Wayne,31179,031179,Nebraska,"42,332","44,259","49,143"
Webster,31181,031181,Nebraska,"45,901","49,541","53,815"
Wheeler,31183,031183,Nebraska,"55,761","68,540","70,710"
York,31185,031185,Nebraska,"48,434","50,703","56,457"
Churchill,32001,032001,Nevada,"44,965","46,149","50,081"
Clark,32003,032003,Nevada,"47,184","49,225","51,244"
Douglas,32005,032005,Nevada,"72,605","75,241","78,416"
Elko,32007,032007,Nevada,"46,542","47,785","50,429"
Esmeralda,32009,032009,Nevada,"38,802","43,025","42,962"
Eureka,32011,032011,Nevada,"38,085","42,637","46,792"
Humboldt,32013,032013,Nevada,"46,106","48,853","51,772"
Lander,32015,032015,Nevada,"66,040","69,494","72,931"
Lincoln,32017,032017,Nevada,"37,022","39,793","43,357"
Lyon,32019,032019,Nevada,"39,137","40,313","44,098"
Mineral,32021,032021,Nevada,"37,652","41,261","48,982"
Nye,32023,032023,Nevada,"38,414","39,673","41,367"
Pershing,32027,032027,Nevada,"32,047","33,337","37,906"
Storey,32029,032029,Nevada,"57,763","58,374","65,971"
Washoe,32031,032031,Nevada,"61,033","62,994","66,076"
White Pine,32033,032033,Nevada,"44,354","46,584","50,653"
Carson City,32510,032510,Nevada,"50,378","52,880","56,510"
Belknap,33001,033001,New Hampshire,"61,382","63,484","66,919"
Carroll,33003,033003,New Hampshire,"59,191","60,844","63,403"
Cheshire,33005,033005,New Hampshire,"51,590","53,190","56,088"
Coos,33007,033007,New Hampshire,"43,569","44,804","49,564"
Grafton,33009,033009,New Hampshire,"61,106","63,816","67,943"
Hillsborough,33011,033011,New Hampshire,"60,760","62,752","66,548"
Merrimack,33013,033013,New Hampshire,"57,516","59,936","63,839"
Rockingham,33015,033015,New Hampshire,"74,464","78,153","80,220"
Strafford,33017,033017,New Hampshire,"50,679","52,598","56,104"
Sullivan,33019,033019,New Hampshire,"52,583","54,260","57,602"
Atlantic,34001,034001,New Jersey,"48,110","51,247","55,802"
Bergen,34003,034003,New Jersey,"85,191","88,241","91,972"
Burlington,34005,034005,New Jersey,"61,140","63,528","67,154"
Camden,34007,034007,New Jersey,"53,026","54,958","58,830"
Cape May,34009,034009,New Jersey,"60,246","63,203","67,836"
Cumberland,34011,034011,New Jersey,"39,448","41,327","45,498"
Essex,34013,034013,New Jersey,"63,521","65,927","70,497"
Gloucester,34015,034015,New Jersey,"54,646","56,853","60,386"
Hudson,34017,034017,New Jersey,"65,090","67,570","71,682"
Hunterdon,34019,034019,New Jersey,"87,934","91,946","95,088"
Mercer,34021,034021,New Jersey,"68,052","70,675","74,218"
Middlesex,34023,034023,New Jersey,"60,547","62,665","66,640"
Monmouth,34025,034025,New Jersey,"79,249","82,270","86,091"
Morris,34027,034027,New Jersey,"97,244","99,140","102,227"
Ocean,34029,034029,New Jersey,"51,725","53,517","57,344"
Passaic,34031,034031,New Jersey,"49,167","51,203","55,775"
Salem,34033,034033,New Jersey,"47,485","50,597","54,578"
Somerset,34035,034035,New Jersey,"104,620","110,466","112,825"
Sussex,34037,034037,New Jersey,"61,531","64,284","67,814"
Union,34039,034039,New Jersey,"67,346","68,867","72,543"
Warren,34041,034041,New Jersey,"54,973","56,956","60,525"
Bernalillo,35001,035001,New Mexico,"43,326","45,203","48,683"
Catron,35003,035003,New Mexico,"32,384","32,184","36,171"
Chaves,35005,035005,New Mexico,"39,086","40,117","43,615"
Cibola,35006,035006,New Mexico,"27,651","28,979","32,755"
Colfax,35007,035007,New Mexico,"39,688","41,000","45,610"
Curry,35009,035009,New Mexico,"41,787","43,667","48,894"
De Baca,35011,035011,New Mexico,"45,330","47,727","56,603"
Doña Ana,35013,035013,New Mexico,"35,805","37,413","40,218"
Eddy,35015,035015,New Mexico,"54,520","60,847","62,356"
Grant,35017,035017,New Mexico,"40,554","42,599","45,561"
Guadalupe,35019,035019,New Mexico,"33,752","35,168","39,140"
Harding,35021,035021,New Mexico,"38,545","41,124","50,723"
Hidalgo,35023,035023,New Mexico,"41,272","43,323","48,166"
Lea,35025,035025,New Mexico,"47,092","49,517","47,215"
Lincoln,35027,035027,New Mexico,"40,547","41,869","44,732"
Los Alamos,35028,035028,New Mexico,"70,405","73,189","76,142"
Luna,35029,035029,New Mexico,"31,445","32,997","38,022"
McKinley,35031,035031,New Mexico,"27,402","28,855","32,804"
Mora,35033,035033,New Mexico,"38,290","40,436","45,300"
Otero,35035,035035,New Mexico,"34,562","35,231","38,779"
Quay,35037,035037,New Mexico,"38,961","39,870","44,691"
Rio Arriba,35039,035039,New Mexico,"34,982","36,401","40,771"
Roosevelt,35041,035041,New Mexico,"39,226","41,475","46,999"
Sandoval,35043,035043,New Mexico,"41,843","43,977","47,257"
San Juan,35045,035045,New Mexico,"35,408","36,095","38,370"
San Miguel,35047,035047,New Mexico,"34,797","36,191","40,675"
Santa Fe,35049,035049,New Mexico,"58,525","60,301","63,004"
Sierra,35051,035051,New Mexico,"38,534","40,762","47,388"
Socorro,35053,035053,New Mexico,"33,875","35,054","39,055"
Taos,35055,035055,New Mexico,"37,906","38,446","42,965"
Torrance,35057,035057,New Mexico,"31,670","33,301","37,276"
Union,35059,035059,New Mexico,"35,192","35,939","41,932"
Valencia,35061,035061,New Mexico,"34,177","35,268","38,918"
Albany,36001,036001,New York,"59,547","61,876","66,632"
Allegany,36003,036003,New York,"34,553","37,131","40,840"
Bronx,36005,036005,New York,"35,819","38,096","43,919"
Broome,36007,036007,New York,"43,487","45,174","49,314"
Cattaraugus,36009,036009,New York,"39,239","41,122","45,200"
Cayuga,36011,036011,New York,"42,031","44,415","48,585"
Chautauqua,36013,036013,New York,"39,900","41,443","45,357"
Chemung,36015,036015,New York,"43,941","45,658","49,439"
Chenango,36017,036017,New York,"41,715","43,286","47,842"
Clinton,36019,036019,New York,"43,216","44,859","48,292"
Columbia,36021,036021,New York,"55,163","57,136","60,859"
Cortland,36023,036023,New York,"40,368","41,412","45,776"
Delaware,36025,036025,New York,"39,271","42,523","45,822"
Dutchess,36027,036027,New York,"55,799","58,417","62,319"
Erie,36029,036029,New York,"50,435","52,264","56,748"
Essex,36031,036031,New York,"45,638","47,329","50,824"
Franklin,36033,036033,New York,"37,264","39,307","42,525"
Fulton,36035,036035,New York,"42,812","44,478","48,957"
Genesee,36037,036037,New York,"43,618","45,200","49,468"
Greene,36039,036039,New York,"47,044","48,947","52,484"
Hamilton,36041,036041,New York,"54,330","55,730","60,014"
Herkimer,36043,036043,New York,"40,795","43,347","47,266"
Jefferson,36045,036045,New York,"46,375","48,896","53,964"
Kings,36047,036047,New York,"51,730","54,349","59,468"
Lewis,36049,036049,New York,"44,539","47,134","51,992"
Livingston,36051,036051,New York,"45,845","46,116","49,382"
Madison,36053,036053,New York,"43,607","45,453","49,137"
Monroe,36055,036055,New York,"52,173","54,174","58,299"
Montgomery,36057,036057,New York,"40,534","41,995","46,332"
Nassau,36059,036059,New York,"89,242","92,159","96,253"
New York,36061,036061,New York,"184,539","187,213","191,220"
Niagara,36063,036063,New York,"44,569","47,053","51,506"
Oneida,36065,036065,New York,"43,917","46,529","50,201"
Onondaga,36067,036067,New York,"52,624","54,379","58,919"
Ontario,36069,036069,New York,"53,151","55,315","59,335"
Orange,36071,036071,New York,"51,247","53,287","57,688"
Orleans,36073,036073,New York,"38,959","39,798","44,477"
Oswego,36075,036075,New York,"40,067","42,047","46,210"
Otsego,36077,036077,New York,"43,670","45,672","49,275"
Putnam,36079,036079,New York,"66,740","69,542","73,152"
Queens,36081,036081,New York,"49,212","51,530","57,085"
Rensselaer,36083,036083,New York,"48,618","50,481","54,748"
Richmond,36085,036085,New York,"55,695","57,990","62,558"
Rockland,36087,036087,New York,"60,111","62,206","66,350"
St. Lawrence,36089,036089,New York,"37,707","39,373","43,034"
Saratoga,36091,036091,New York,"70,010","72,219","77,398"
Schenectady,36093,036093,New York,"48,718","54,310","58,210"
Schoharie,36095,036095,New York,"41,084","42,648","46,469"
Schuyler,36097,036097,New York,"41,357","42,703","46,971"
Seneca,36099,036099,New York,"38,284","40,299","44,065"
Steuben,36101,036101,New York,"44,869","46,726","50,331"
Suffolk,36103,036103,New York,"69,209","72,180","76,713"
Sullivan,36105,036105,New York,"45,993","48,550","52,249"
Tioga,36107,036107,New York,"44,811","46,818","50,990"
Tompkins,36109,036109,New York,"44,692","46,052","49,486"
Ulster,36111,036111,New York,"50,378","52,554","56,071"
Warren,36113,036113,New York,"52,542","54,650","59,509"
Washington,36115,036115,New York,"40,089","42,122","46,305"
Wayne,36117,036117,New York,"45,732","48,162","51,282"
Westchester,36119,036119,New York,"107,252","112,037","115,386"
Wyoming,36121,036121,New York,"39,872","42,682","47,331"
Yates,36123,036123,New York,"39,082","41,632","45,258"
Alamance,37001,037001,North Carolina,"39,742","41,256","43,973"
Alexander,37003,037003,North Carolina,"36,539","37,758","40,176"
Alleghany,37005,037005,North Carolina,"36,576","37,987","40,599"
Anson,37007,037007,North Carolina,"35,135","37,741","38,785"
Ashe,37009,037009,North Carolina,"34,791","36,643","39,612"
Avery,37011,037011,North Carolina,"35,335","36,896","39,437"
Beaufort,37013,037013,North Carolina,"41,331","43,878","46,363"
Bertie,37015,037015,North Carolina,"35,216","37,557","40,351"
Bladen,37017,037017,North Carolina,"34,040","35,601","39,264"
Brunswick,37019,037019,North Carolina,"44,497","45,128","46,829"
Buncombe,37021,037021,North Carolina,"48,819","50,804","53,309"
Burke,37023,037023,North Carolina,"34,881","36,022","38,946"
Cabarrus,37025,037025,North Carolina,"45,352","46,826","49,679"
Caldwell,37027,037027,North Carolina,"34,896","36,141","38,894"
Camden,37029,037029,North Carolina,"44,413","45,839","48,642"
Carteret,37031,037031,North Carolina,"47,910","50,531","53,276"
Caswell,37033,037033,North Carolina,"34,413","36,032","39,265"
Catawba,37035,037035,North Carolina,"44,528","46,184","49,193"
Chatham,37037,037037,North Carolina,"63,068","64,978","66,766"
Cherokee,37039,037039,North Carolina,"31,996","34,072","36,620"
Chowan,37041,037041,North Carolina,"40,326","42,376","45,388"
